"SERIES_CODE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","SCALE.ID","SCALE","UNIT.ID","UNIT","COUNTRY_UPDATE_DATE","METHODOLOGY","METHODOLOGY_NOTES","KEY_INDICATOR","SERIES_NAME","LATEST_ACTUAL_ANNUAL_DATA","HISTORICAL_DATA_SOURCE","BASE_YEAR","START_END_MONTHS_OF_REPORTING_YEAR","CHAIN_WEIGHTED","PRIMARY_DOMESTIC_CURRENCY","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030"
"CHL.NGDPRPC.A","CHL","Chile","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/10/2025","System of National Accounts (SNA) 2008","Real annual data based on seasonally adjusted quarterly data.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","Central Bank","2018","January/December","Yes, from 2003","Chilean peso",3570434.326,3730277.967,3171591.113,3033949.112,3162478.765,3175270.008,3294352.716,3450824.102,3639781.45,3958908.489,4037194.636,4273403.089,4641649.066,4869595.22,5036933.08,5406994.066,5597243.446,5930563.795,6099217.237,6007328.414,6231611.451,6354962.861,6486755.897,6722336.988,7097084.265,7436453.104,7807049.472,8126012.861,8343112.792,8160242.729,8545193.495,8976960.627,9426089.479,9644834.783,9720748.429,9828373.134,9892925.95,9890030.79,10102435.951,9977203.377,9195293.425,10121272.689,10260964.852,10246084.981,10451319.12,10650216.87,10801309.157,10987363.693,11185033.59,11388318.945,11587165.695
"CHL.NGDPRPPPPC.A","CHL","Chile","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/10/2025","System of National Accounts (SNA) 2008","Real annual data based on seasonally adjusted quarterly data.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","Central Bank","2018","January/December","Yes, from 2003","Chilean peso",10145.33,10599.523,9012.024,8620.916,8986.131,9022.477,9360.849,9805.46,10342.379,11249.173,11471.622,12142.804,13189.169,13836.874,14312.362,15363.884,15904.475,16851.599,17330.825,17069.724,17707.021,18057.522,18432.009,19101.409,20166.247,21130.558,22183.602,23089.931,23706.817,23187.195,24281.026,25507.885,26784.077,27405.638,27621.346,27927.159,28110.585,28102.359,28705.904,28350.058,26128.274,28759.429,29156.362,29114.081,29697.25,30262.415,30691.741,31220.412,31782.088,32359.72,32924.739
"CHN.NGDP_R.A","CHN","China, People's Republic of","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/25/2025","System of National Accounts (SNA) 2008","Historical data source: Data retrieved from CEIC. GDP valuation: Authorities publish production-based measure; staff estimates expenditure-based measures.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2015","January/December","No","Chinese yuan",2653.619,2788.954,3039.959,3368.275,3880.253,4404.132,4796.1,5357.244,5957.255,6207.46,6448.818,7106.805,8121.453,9253.224,10465.602,11618.511,12776.66,13967.297,15075.453,16244.883,17637.471,19104.81,20865.193,22977.025,25301.188,28194.844,31765.583,36261.555,39756.507,43511.51,48117.958,52665.566,56798.579,61212.191,65797.797,70415.749,75186.802,80367.892,85799.647,91003.169,93129.531,101097.421,104243.655,109848.646,115344.138,120875.716,125908.126,131178.479,136380.055,141426.15,146181.122
"CHN.NGDPRPC.A","CHN","China, People's Republic of","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/25/2025","System of National Accounts (SNA) 2008","Historical data source: Data retrieved from CEIC. GDP valuation: Authorities publish production-based measure; staff estimates expenditure-based measures.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2015","January/December","No","Chinese yuan",2688.434,2786.947,2990.497,3269.916,3718.249,4160.69,4461.198,4901.413,5365.64,5507.755,5640.382,6135.919,6931.282,7807.508,8732.25,9592.483,10439.386,11298.025,12083.466,12914.699,13915.933,14969.254,16243.445,17780.359,19464.249,21562.945,24165.893,27444.055,29936.678,32605.103,35884.554,39035.82,41787.627,44769.971,47802.186,50905.65,54001.093,57401.127,61049.549,64537.593,65950.154,71568.329,73840.025,77925.079,81904.265,86027.645,89811.036,93785.12,97749.604,101644.955,105372.683
"CHN.NGDPRPPPPC.A","CHN","China, People's Republic of","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/25/2025","System of National Accounts (SNA) 2008","Historical data source: Data retrieved from CEIC. GDP valuation: Authorities publish production-based measure; staff estimates expenditure-based measures.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2015","January/December","No","Chinese yuan",782.361,811.029,870.264,951.578,1082.047,1210.802,1298.253,1426.36,1561.454,1602.811,1641.407,1785.613,2017.072,2272.062,2541.171,2791.507,3037.965,3287.837,3516.408,3758.305,4049.674,4356.201,4727.004,5174.261,5664.289,6275.031,7032.514,7986.492,8711.87,9488.408,10442.761,11359.81,12160.614,13028.505,13910.91,14814.049,15714.853,16704.297,17766.024,18781.079,19192.148,20827.093,21488.179,22676.97,23834.953,25034.897,26135.901,27292.399,28446.103,29579.689,30664.495
"COL.NGDP_R.A","COL","Colombia","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/12/2025","System of National Accounts (SNA) 2008","DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is only available from 2005. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2005 and 2015 series are not comparable and the chain index is associated with non-additivity of the components.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2015","January/December","Yes, from 2005","Colombian peso",236301.221,241681.499,243973.657,247813.695,256117.148,264074.98,279454.908,294458.652,306425.962,316887.639,330456.762,338294.937,353021.779,373179.899,392388.761,412802.541,421289.161,435740.617,438223.398,419800.419,432079,439329,450330,467975,492932,514853,549434,586457,605713,612616,640150,684628,711415,747939,781589,804693,821489,832656,854008,881224,817900,906243,972655,979583,995241,1020346.095,1043529.033,1069617.259,1098496.925,1129913.937,1161099.562
"COL.NGDPRPC.A","COL","Colombia","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/12/2025","System of National Accounts (SNA) 2008","DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is only available from 2005. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2005 and 2015 series are not comparable and the chain index is associated with non-additivity of the components.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2015","January/December","Yes, from 2005","Colombian peso",8549455.923,8553604.535,8449309.031,8400894.412,8501975.554,8825879.694,9150069.434,9443525.538,9625737.626,9752064.826,9966685.363,9995410.47,10226027.964,10607514.328,10955523.544,11332706.414,11380416.532,11618326.761,11505681.351,10883164.874,11035806.288,11078566.25,11214471.972,11509074.877,11974348.576,12354926.745,13028986.444,13747675.441,14042582.679,14048045.077,14520386.518,15366453.607,15808670.324,16461757.561,17040701.818,17374762.971,17541895.476,17559469.582,17696532.345,17840103.339,16225712.738,17728667.538,18819743.368,18760386.163,18886479.174,19211718.977,19514466.895,19878400.998,20297592.274,20764136.095,21224522.946
"COL.NGDPRPPPPC.A","COL","Colombia","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/12/2025","System of National Accounts (SNA) 2008","DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is only available from 2005. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2005 and 2015 series are not comparable and the chain index is associated with non-additivity of the components.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2015","January/December","Yes, from 2005","Colombian peso",8547.481,8551.628,8447.357,8398.953,8500.011,8823.841,9147.955,9441.344,9623.514,9749.812,9964.383,9993.101,10223.665,10605.064,10952.992,11330.088,11377.787,11615.642,11503.023,10880.65,11033.257,11076.007,11211.881,11506.416,11971.582,12352.072,13025.976,13744.499,14039.338,14044.799,14517.032,15362.903,15805.018,16457.954,17036.765,17370.749,17537.843,17555.413,17692.444,17835.982,16221.964,17724.572,18815.395,18756.052,18882.116,19207.28,19509.958,19873.808,20292.903,20759.339,21219.619
"COM.NGDP_R.A","COM","Comoros, Union of the","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/9/2025","System of National Accounts (SNA) 1993","","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2007","January/December","No","Comorian franc",151.044,159.294,165.758,170.885,178.005,182.952,186.741,190.621,200.096,198.261,212.811,199.687,214.38,219.841,211.077,222.976,221.838,231.622,231.68,237.93,235.534,248.299,259.715,264.739,272.947,288.41,283.35,285.627,296.951,306.574,318.156,331.339,341.837,357.104,364.627,368.811,381.057,395.597,410.007,417.226,416.41,424.739,435.795,448.848,463.835,481.351,500.71,522.052,544.522,565.263,586.807
"COM.NGDPRPC.A","COM","Comoros, Union of the","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/9/2025","System of National Accounts (SNA) 1993","","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2007","January/December","No","Comorian franc",448286.007,461263.103,468575.634,471977.059,486798.864,487028.738,483700.584,480289.836,490348.604,472517.842,493624.349,451497.093,473255.905,474491.692,445799.624,460922.566,448804.359,458626.483,449028.174,451957.069,438808.985,453315.116,464567.661,464348.382,469663.86,486617.966,468611.933,463004.104,471748.035,477163.817,484976.279,494483.635,499358.444,510592.207,510245.176,505071.284,510641.528,519385.558,528145.807,527475.881,516531.487,516949.449,512281.46,515895.693,521352.186,529231.496,538600.705,549556.01,561122.438,570349.184,579937.487
"COM.NGDPRPPPPC.A","COM","Comoros, Union of the","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/9/2025","System of National Accounts (SNA) 1993","","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2007","January/December","No","Comorian franc",2916.917,3001.356,3048.938,3071.07,3167.513,3169.009,3147.353,3125.16,3190.611,3074.589,3211.925,2937.811,3079.391,3087.433,2900.738,2999.141,2920.29,2984.2,2921.746,2940.804,2855.252,2949.64,3022.859,3021.432,3056.019,3166.336,3049.174,3012.685,3069.58,3104.82,3155.654,3217.517,3249.236,3322.332,3320.074,3286.408,3322.653,3379.549,3436.55,3432.191,3360.978,3363.698,3333.324,3356.841,3392.345,3443.615,3504.578,3575.863,3651.123,3711.16,3773.549
"COD.NGDP_R.A","COD","Congo, Democratic Republic of the","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","7/15/2025","System of National Accounts (SNA) 1993","Data prior to 2001 cannot be confirmed by national sources at this time.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2020","National Statistics Office","2005","January/December","Yes, from 2005","Congolese franc",8372.439,8451.52,8413.109,8531.731,8945.047,8986.569,9410.76,9662.132,9707.02,9584.701,8955.147,8198.841,7341.104,6352.382,5962.095,6126.792,6008.254,5537.209,5322.636,5120.246,4703.668,4604.883,4740.624,5055.048,5442.306,5975.851,6281.154,6816.932,7321.503,7362.905,7940.378,8543.316,9283.901,10177.429,10920.613,11615.136,11660.88,12087.475,12670.754,13239.085,13460.315,13692.655,14955.062,16223.709,17272.056,18184.085,19144.865,20177.944,21275.505,22431.312,23651.004
"COD.NGDPRPC.A","COD","Congo, Democratic Republic of the","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","7/15/2025","System of National Accounts (SNA) 1993","Data prior to 2001 cannot be confirmed by national sources at this time.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2020","National Statistics Office","2005","January/December","Yes, from 2005","Congolese franc",333243.255,325644.605,313808.907,308067.278,312673.247,304089.663,308270.615,306393.89,297983.856,284829.54,257619.585,228327.533,196633.649,163654.405,148115.625,147362.841,140520.155,123494.377,116381.212,109760.667,97893.836,93123.855,93005.555,96099.533,100199.226,106541.287,108432.538,113929.081,118453.136,115324.51,120420.577,125475.768,132077.791,140276.055,145847.308,150325.023,146125.296,146661.713,148857.504,150595.962,148251.011,146053.888,154493.325,162321.779,167370.314,170658.828,174012.557,177614.428,181355.505,185165.581,189066.916
"COD.NGDPRPPPPC.A","COD","Congo, Democratic Republic of the","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","7/15/2025","System of National Accounts (SNA) 1993","Data prior to 2001 cannot be confirmed by national sources at this time.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2020","National Statistics Office","2005","January/December","Yes, from 2005","Congolese franc",3306.635,3231.237,3113.796,3056.824,3102.527,3017.356,3058.842,3040.22,2956.771,2826.246,2556.253,2265.6,1951.114,1623.875,1469.69,1462.221,1394.323,1225.384,1154.803,1089.11,971.36,924.03,922.856,953.556,994.236,1057.165,1075.931,1130.471,1175.362,1144.317,1194.884,1245.044,1310.553,1391.901,1447.183,1491.613,1449.941,1455.264,1477.051,1494.301,1471.034,1449.232,1532.973,1610.652,1660.746,1693.377,1726.655,1762.395,1799.516,1837.322,1876.033
"COG.NGDP_R.A","COG","Congo, Republic of","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","8/20/2025","System of National Accounts (SNA) 1993","","true","Gross domestic product (GDP), Constant prices, Domestic currency","2021","National Statistics Office","2005","January/December","No","CFA franc",1405.579,1442.302,1477.064,1512.403,1548.329,1584.851,1621.981,1659.727,2023.337,2453.689,2478.31,2562.627,2669.762,2704.883,2666.975,2772.722,2869.641,2840.83,3095.075,2981.253,3331.621,3170.953,3202.191,3216.877,3210.535,3506.269,3786.288,3535.863,3758.848,4196.276,4613.019,4714.779,5183.765,5146.834,5492.53,5297.514,5032.982,4751.398,4641.911,4694.108,4399.892,4446.391,4526.36,4615.844,4713.337,4838.423,4975.561,5136.279,5327.252,5522.663,5719.516
"COG.NGDPRPC.A","COG","Congo, Republic of","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","8/20/2025","System of National Accounts (SNA) 1993","","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2021","National Statistics Office","2005","January/December","No","CFA franc",823305.557,819517.868,814137.351,808652.926,803071.371,797399.209,791642.719,785807.942,929275.302,1060445.31,1038934.194,1044829.609,1059026.73,1042678.58,999158.897,1011090.433,1018833.27,988102.201,1053762.268,988263.11,1063047.018,974448.109,961284.731,939329.35,906159.68,954648.162,992910.383,893723.224,919123.164,985682.221,1039463.677,1028480.923,1099826.503,1066023.96,1110755.262,1046032.745,970339.885,894407.782,853125.901,842637.431,771616.557,761915.441,758130.478,752060.661,747028.339,745966.516,746215.701,749338.246,756030.551,762415.256,768084.789
"COG.NGDPRPPPPC.A","COG","Congo, Republic of","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","8/20/2025","System of National Accounts (SNA) 1993","","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2021","National Statistics Office","2005","January/December","No","CFA franc",6167.021,6138.649,6098.346,6057.264,6015.455,5972.968,5929.848,5886.143,6960.794,7943.331,7782.2,7826.36,7932.705,7810.248,7484.261,7573.635,7631.633,7401.44,7893.271,7402.646,7962.819,7299.163,7200.562,7036.104,6787.645,7150.851,7437.456,6694.489,6884.749,7383.313,7786.167,7703.9,8238.318,7985.118,8320.181,7835.373,7268.391,6699.616,6390.392,6311.827,5779.841,5707.174,5678.823,5633.357,5595.662,5587.708,5589.575,5612.964,5663.093,5710.918,5753.386
"CRI.NGDP_R.A","CRI","Costa Rica","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/18/2025","System of National Accounts (SNA) 2008","As of January 2021, national accounts data reflect an updated series (including for all historical years) with 2017 as the benchmark year.","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","Central Bank","2017","January/December","Yes, from 2016","Costa Rican colón",8321.485,8133.458,7540.914,7756.541,8379.273,8439.738,8906.983,9331.359,9651.625,10198.484,10565.629,10804.736,11798.891,12636.281,13207.318,13755.944,13941.713,14705.184,15757.385,16421.529,17056.832,17652.315,18255.473,19043.594,19886.197,20677.005,22191.946,24015.044,25152.918,24933.219,26269.725,27426.423,28765.543,29483.176,30527.503,31642.392,32972.74,34343.648,35242.045,36094.025,34551.6,37293.532,38990.945,40984.131,42755.147,44291.175,45772.874,47394.636,49072.07,50799.407,52577.387
"CRI.NGDPRPC.A","CRI","Costa Rica","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/18/2025","System of National Accounts (SNA) 2008","As of January 2021, national accounts data reflect an updated series (including for all historical years) with 2017 as the benchmark year.","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","Central Bank","2017","January/December","Yes, from 2016","Costa Rican colón",3615044.338,3428880.034,3086552.651,3084752.127,3237965.813,3165710.86,3243357.409,3304327.781,3327112.804,3425771.329,3463509.266,3461208.31,3697264.425,3858440.67,3916059.638,3964492.403,3911123.676,4021634.784,4205326.946,4279031.83,4476639.047,4465105.012,4538417.837,4660231.72,4789750.671,4905287.85,5186662.821,5532922.963,5711263.485,5578728.724,5768604.912,5945878.446,6155776.445,6229208.969,6369693.781,6522949.688,6716387.336,6915180.148,7017097.209,7111601.869,6737296.689,7199467.996,7456249.76,7764925.513,8028971.257,8244012.39,8444609.123,8666634.756,8894173.989,9125986.447,9362031.639
"CRI.NGDPRPPPPC.A","CRI","Costa Rica","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/18/2025","System of National Accounts (SNA) 2008","As of January 2021, national accounts data reflect an updated series (including for all historical years) with 2017 as the benchmark year.","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","Central Bank","2017","January/December","Yes, from 2016","Costa Rican colón",11840.625,11230.867,10109.617,10103.719,10605.552,10368.89,10623.211,10822.912,10897.541,11220.685,11344.291,11336.755,12109.927,12637.839,12826.563,12985.199,12810.396,13172.361,13774.022,14015.433,14662.671,14624.893,14865.019,15264.006,15688.229,16066.656,16988.265,18122.397,18706.529,18272.428,18894.343,19474.981,20162.475,20402.994,20863.135,21365.105,21998.686,22649.807,22983.623,23293.162,22067.172,23580.956,24422.013,25433.041,26297.89,27002.231,27659.26,28386.477,29131.753,29891.026,30664.163
"HRV.NGDP_R.A","HRV","Croatia, Republic of","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/11/2025","European System of Accounts (ESA) 2010","The authorities produce data from 1995 only; earlier data for the GDP and its components result from splicing. The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities within ESA 2010. Historical data source: By the Croatian Bureau of Statistics (CBS, www.dzs.hr). GDP valuation: Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Base year: Base year changed from 2015 to 2021 by the Croatian Bureau of Statistics (CBS).","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2021","January/December","No","Euro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.57,29.044,30.758,32.798,34.725,37.032,37.722,37.369,38.77,39.975,42.295,44.65,46.513,48.525,50.992,53.566,54.62,50.898,50.22,50.17,49.04,48.978,48.706,49.837,51.562,53.254,54.8,56.499,51.803,58.348,62.599,64.676,67.217,69.301,71.197,73.075,74.975,76.85,78.771
"HRV.NGDPRPC.A","HRV","Croatia, Republic of","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/11/2025","European System of Accounts (ESA) 2010","The authorities produce data from 1995 only; earlier data for the GDP and its components result from splicing. The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities within ESA 2010. Historical data source: By the Croatian Bureau of Statistics (CBS, www.dzs.hr). GDP valuation: Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Base year: Base year changed from 2015 to 2021 by the Croatian Bureau of Statistics (CBS).","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","National Statistics Office","2021","January/December","No","Euro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6674.62,6280.948,6798.395,7365.694,7726.908,8099.815,8380.771,8205.745,8849.578,9296.512,9831.474,10376.482,10804.413,11258.701,11828.346,12428.306,12672.854,11822.997,11692.666,11719.224,11490.159,11507.989,11591.147,12003.131,12554.663,13178.421,13737.779,14307.166,13235.309,15042.021,16234.18,16755.44,17431.162,17980.518,18481.851,18978.806,19481.996,19979.036,20488.756
"HRV.NGDPRPPPPC.A","HRV","Croatia, Republic of","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/11/2025","European System of Accounts (ESA) 2010","The authorities produce data from 1995 only; earlier data for the GDP and its components result from splicing. The GDP estimates include all economic activities within the ESA 2010 production boundary, covering both registered and unregistered activities. In addition to the unregistered activities covered since the implementation of ESA 1995 in 2009, since September 2014 CBS is also covering data on illegal activities within ESA 2010. Historical data source: By the Croatian Bureau of Statistics (CBS, www.dzs.hr). GDP valuation: Gross domestic product (GDP) by expenditure approach is valued at market prices and gross value added (GVA) by production approach is valued at basic prices. Base year: Base year changed from 2015 to 2021 by the Croatian Bureau of Statistics (CBS).","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","National Statistics Office","2021","January/December","No","Euro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16380.723,15414.582,16684.49,18076.743,18963.229,19878.408,20567.927,20138.38,21718.462,22815.319,24128.212,25465.76,26515.982,27630.885,29028.898,30501.308,31101.472,29015.769,28695.914,28761.094,28198.926,28242.683,28446.769,29457.852,30811.41,32342.226,33714.991,35112.371,32481.839,36915.837,39841.611,41120.877,42779.219,44127.439,45357.801,46577.419,47812.338,49032.162,50283.108
"CYP.NGDP_R.A","CYP","Cyprus","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/24/2025","European System of Accounts (ESA) 2010","Historical data source: Eurostat","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","Other","2020","January/December","Yes, from 1995","Euro",4.886,5.036,5.352,5.636,6.134,6.425,6.655,7.13,7.723,8.348,8.966,9.032,9.878,9.947,10.534,11.579,11.739,12.049,12.786,13.425,14.225,14.788,15.338,15.741,16.532,17.334,18.151,19.077,19.772,19.374,19.816,19.899,19.212,17.947,17.629,18.231,19.43,20.547,21.836,23.119,22.374,24.922,26.718,27.456,28.403,29.239,30.07,30.925,31.856,32.826,33.802
"CYP.NGDPRPC.A","CYP","Cyprus","NGDPRPC","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency",0,"Units","XDC","Domestic currency","9/24/2025","European System of Accounts (ESA) 2010","Historical data source: Eurostat","true","Gross domestic product (GDP), Constant prices, Per capita, Domestic currency","2024","Other","2020","January/December","Yes, from 1995","Euro",9607.628,9777.721,10275.907,10681.82,11469.249,11873.699,12155.306,12881.862,13808.501,14709.641,15473.912,15182.194,16177.012,15894.709,16484.58,17940.84,17886.043,18083.693,18935.598,19659.463,20601.683,21199.658,21739.833,22054.307,22869.083,23646.27,24396.482,25169.94,25468.968,24310.667,24191.225,23696.072,22287.883,20799.695,20497.493,21178.004,22493.991,23620.324,24852.806,25970.294,24793.086,27814.292,29531.947,29649.592,30342.074,31047.497,31771.658,32547.012,33433.084,34359.658,35292.909
"CYP.NGDPRPPPPC.A","CYP","Cyprus","NGDPRPPPPC","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",0,"Units","","","9/24/2025","European System of Accounts (ESA) 2010","Historical data source: Eurostat","","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021","2024","Other","2020","January/December","Yes, from 1995","Euro",17331.081,17637.909,18536.581,19268.802,20689.235,21418.818,21926.805,23237.43,24908.982,26534.539,27913.197,27386.97,29181.511,28672.267,29736.328,32363.257,32264.41,32620.949,34157.69,35463.46,37163.119,38241.798,39216.214,39783.49,41253.254,42655.211,44008.511,45403.741,45943.153,43853.71,43638.249,42745.049,40204.834,37520.311,36975.173,38202.738,40576.631,42608.408,44831.667,46847.49,44723.939,50173.854,53272.311,53484.53,54733.69,56006.193,57312.497,58711.149,60309.524,61980.96,63664.438
"CZE.NGDP_R.A","CZE","Czech Republic","NGDP_R","Gross domestic product (GDP), Constant prices, Domestic currency",9,"Billions","XDC","Domestic currency","9/19/2025","European System of Accounts (ESA) 2010","National accounts base year changed to 2020 in the latest release by the Czech National Statistics Office","true","Gross domestic product (GDP), Constant prices, Domestic currency","2024","National Statistics Office","2020","January/December","Yes, from 1995","Czech koruna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3339.113,3490.208,3469.412,3455.772,3503.405,3643.915,3750.216,3806.974,3932.636,4118.899,4381.48,4671.673,4928.093,5056.828,4814.185,4944.874,5032.516,4993.732,4991.644,5103.717,5356.798,5495.05,5779.34,5942.913,6154.824,5828.318,6063.142,6235.77,6238.737,6315.666,6460.798,6590.813,6722.725,6857,6994,7135
